type,lease_type,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,AC,CLUB,CPA,FS,GP,GYM,HK,INTERCOM,INTERNET,LIFT,PARK,PB,POOL,RWH,SC,SECURITY,SERVANT,STP,VP,deposit,rent
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1400,10,2,N,2,8,9,CORP_BORE,AP,3,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,100000,27500
BHK2,ANYONE,0,SEMI_FURNISHED,FOUR_WHEELER,850,8,1,E,1,1,1,CORP_BORE,IF,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,40000,13000
BHK2,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,900,2,1,E,2,3,3,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,150000,15000
BHK2,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1000,6,2,N,2,0,3,CORPORATION,IF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,150000,15500
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1360,5,2,E,2,0,3,CORP_BORE,AP,3,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,200000,22500
BHK2,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,5,2,N,2,0,2,CORP_BORE,IF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120000,12000
BHK2,ANYONE,0,SEMI_FURNISHED,BOTH,1060,5,2,NE,9,2,4,CORP_BORE,AP,3,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,50000,16000
BHK2,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,550,5,1,N,2,2,3,CORP_BORE,AP,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,75000,16000
BHK2,ANYONE,1,FULLY_FURNISHED,BOTH,1550,0,2,W,4,1,11,CORP_BORE,AP,4,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,180000,28000
BHK2,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,500,10,1,S,2,1,3,CORP_BORE,AP,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60000,12500
BHK1,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,400,3,1,N,2,0,2,CORP_BORE,IH,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,8000
BHK2,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,900,15,2,S,2,1,4,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150000,15000
BHK3,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1400,8,3,E,5,0,1,CORP_BORE,IH,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,180000,18000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1078,3,2,N,2,1,4,CORP_BORE,AP,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,170000,23000
BHK1,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,0,1,E,3,1,4,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000,12500
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1500,6,2,N,7,14,14,BOREWELL,AP,3,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,280000,28000
BHK3,COMPANY,1,SEMI_FURNISHED,BOTH,2100,5,3,W,0,4,18,CORPORATION,AP,2,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,400000,42000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1600,8,2,W,3,3,4,CORP_BORE,AP,2,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,100000,26000
BHK2,FAMILY,0,SEMI_FURNISHED,BOTH,1255,2,2,E,2,0,3,BOREWELL,AP,2,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,100000,21000
BHK2,ANYONE,0,SEMI_FURNISHED,BOTH,1261,0,2,E,2,3,3,CORP_BORE,AP,2,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,150000,20000
BHK2,ANYONE,0,NOT_FURNISHED,FOUR_WHEELER,1000,2,2,NE,0,2,2,CORP_BORE,IH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200000,17000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1200,15,2,E,3,1,1,CORPORATION,IF,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,220000,22000
BHK1,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,400,7,1,N,1,4,4,CORP_BORE,IF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,90000,9000
BHK1,ANYONE,1,SEMI_FURNISHED,BOTH,650,10,1,NE,2,3,3,CORPORATION,AP,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,90000,16000
BHK2,ANYONE,0,SEMI_FURNISHED,BOTH,1200,3,2,N,0,1,3,CORPORATION,IF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,20000
BHK2,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,500,10,2,E,2,0,2,CORP_BORE,IF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,15000
BHK2,FAMILY,0,SEMI_FURNISHED,BOTH,1250,4,2,E,2,1,4,CORP_BORE,AP,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,130000,23000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1710,2,3,E,3,2,3,BOREWELL,AP,2,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,220000,32000
BHK1,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,300,2,1,E,1,2,2,CORPORATION,IF,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,50000,10000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,600,0,1,N,1,0,2,CORPORATION,IH,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,70000,12000
BHK3,FAMILY,1,SEMI_FURNISHED,BOTH,1650,15,2,E,3,0,1,CORP_BORE,IF,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,170000,17000
BHK3,FAMILY,1,SEMI_FURNISHED,BOTH,1590,1,2,E,7,15,21,CORPORATION,AP,2,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,400000,40000
BHK1,ANYONE,1,NOT_FURNISHED,TWO_WHEELER,450,2,1,N,0,0,1,CORPORATION,IF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,50000,10000
RK1,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,150,1,1,E,1,2,2,CORPORATION,IH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,8000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1000,1,1,N,2,2,4,BOREWELL,IF,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,50000,13000
BHK2,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,10,1,N,5,1,2,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,100000,12800
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1863,1,2,E,2,2,8,CORP_BORE,AP,2,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,200000,35000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1438,9,2,S,9,2,4,CORP_BORE,AP,2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,250000,35000
BHK2,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1200,25,2,N,2,1,2,CORPORATION,IF,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,150000,16000
BHK1,ANYONE,0,SEMI_FURNISHED,NONE,400,5,1,S,1,1,1,CORPORATION,IF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40000,8000
BHK2,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,700,5,1,E,2,0,3,CORPORATION,IH,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,75000,12500
RK1,ANYONE,1,SEMI_FURNISHED,BOTH,120,0,1,N,1,0,2,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,100000,10000
BHK3,FAMILY,1,SEMI_FURNISHED,BOTH,1500,0,2,E,1,2,2,CORPORATION,IF,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,250000,30000
BHK2,FAMILY,0,FULLY_FURNISHED,BOTH,1250,3,2,W,2,2,4,CORP_BORE,AP,2,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,150000,25000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1256,3,2,E,2,2,4,CORP_BORE,AP,2,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,150000,25000
BHK1,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,550,1,1,E,1,0,4,CORP_BORE,AP,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,60000,14000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1050,0,2,E,2,1,3,CORP_BORE,IF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,250000,23000
BHK2,FAMILY,0,SEMI_FURNISHED,NONE,1400,0,2,N,2,0,2,CORP_BORE,IH,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,150000,23000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1133,1,2,E,2,3,4,BOREWELL,AP,2,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,100000,18000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1290,0,2,E,5,3,9,CORP_BORE,AP,3,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,250000,27000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1200,5,2,N,3,1,2,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,150000,20000
BHK2,ANYONE,0,SEMI_FURNISHED,BOTH,1258,8,2,W,2,2,4,CORP_BORE,AP,2,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,130000,16000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1175,14,2,N,2,2,3,CORP_BORE,AP,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,300000,32000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1050,1,3,E,4,4,5,CORP_BORE,AP,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,60000,18500
BHK2,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1500,4,3,W,3,0,3,CORPORATION,IF,3,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,200000,23000
BHK3,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,900,10,1,E,3,0,2,CORPORATION,IF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50000,10000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1720,10,3,N,3,3,4,BOREWELL,AP,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,100000,22000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1000,10,2,E,3,2,4,BOREWELL,AP,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,90000,18000
BHK1,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,500,4,1,E,1,2,2,CORPORATION,IF,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75000,12000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1365,10,2,N,1,0,3,CORP_BORE,AP,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,114000,19000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1200,0,2,E,2,2,3,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,160000,16000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1150,15,2,NW,1,4,5,CORP_BORE,AP,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,100000,20000
BHK1,ANYONE,1,NOT_FURNISHED,BOTH,980,3,2,S,0,0,1,CORPORATION,IF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70000,8750
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1520,3,2,W,2,2,9,CORP_BORE,AP,2,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,150000,23000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1476,17,2,NE,4,0,1,CORP_BORE,AP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,250000,30000
RK1,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,100,14,1,N,2,2,3,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,40000,8000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1361,0,2,E,3,1,5,CORP_BORE,AP,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,200000,30000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,950,2,1,E,2,2,2,CORP_BORE,IF,2,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,100000,11500
BHK3,BACHELOR,0,NOT_FURNISHED,BOTH,1400,7,3,E,0,1,4,CORPORATION,AP,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,150000,33000
BHK3,FAMILY,0,SEMI_FURNISHED,BOTH,2666,0,3,N,6,4,9,CORP_BORE,AP,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,300000,50000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1200,5,2,NE,4,1,1,CORP_BORE,IF,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100000,16000
RK1,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,400,2,1,N,1,4,4,CORP_BORE,IF,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,40000,8500
BHK1,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,550,10,2,S,1,1,3,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,11500
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,750,5,1,E,2,1,2,CORP_BORE,IH,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,45000,9500
BHK2,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1050,0,2,E,2,3,4,BOREWELL,AP,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,150000,15000
BHK2,FAMILY,0,SEMI_FURNISHED,BOTH,750,1,2,E,2,3,3,CORP_BORE,AP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45000,13000
BHK2,ANYONE,0,SEMI_FURNISHED,BOTH,1150,7,2,W,2,3,3,CORP_BORE,IF,2,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,110000,22000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1350,2,2,E,2,3,5,CORP_BORE,AP,2,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,100000,23000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1325,1,2,E,2,4,4,CORPORATION,AP,3,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,100000,20000
BHK4,ANYONE,1,SEMI_FURNISHED,FOUR_WHEELER,2500,20,3,S,4,0,1,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,200000,40000
RK1,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,150,5,1,E,0,0,0,CORP_BORE,IH,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,60000,9500
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1200,0,2,NE,1,3,6,CORP_BORE,AP,2,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,100000,14000
BHK1,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,500,5,1,E,1,1,2,CORPORATION,IH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,50000,8500
BHK2,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,800,3,2,N,2,1,4,CORPORATION,IF,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,100000,15000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1000,1,2,E,2,3,6,BOREWELL,AP,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,50000,21000
BHK2,FAMILY,0,SEMI_FURNISHED,BOTH,1020,6,2,N,2,1,4,BOREWELL,AP,2,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,125000,19000
BHK3,FAMILY,1,SEMI_FURNISHED,BOTH,1100,10,3,N,3,0,1,CORP_BORE,IH,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150000,15000
BHK3,FAMILY,1,SEMI_FURNISHED,BOTH,1390,1,3,W,2,1,3,CORPORATION,AP,3,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,240000,24000
BHK2,FAMILY,0,SEMI_FURNISHED,BOTH,1150,1,2,W,5,3,4,CORP_BORE,AP,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,100000,23000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1360,3,2,S,2,6,9,CORP_BORE,AP,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,120000,23000
BHK3,FAMILY,1,SEMI_FURNISHED,BOTH,1470,10,2,E,9,4,4,CORPORATION,AP,3,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,250000,25000
BHK2,ANYONE,0,FULLY_FURNISHED,BOTH,1340,2,2,S,6,0,10,CORP_BORE,AP,3,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,300000,36000
BHK2,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,850,4,2,E,2,0,3,CORPORATION,IF,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,80000,16000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1800,5,2,E,5,1,4,CORPORATION,AP,4,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,300000,30000
BHK2,ANYONE,1,SEMI_FURNISHED,NONE,600,0,1,N,4,1,3,CORPORATION,IF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,60000,16000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1350,5,2,NE,2,0,2,CORPORATION,IF,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,50000,17000
BHK2,ANYONE,1,FULLY_FURNISHED,BOTH,1300,3,2,N,2,1,4,CORP_BORE,AP,2,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,150000,28000
BHK1,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,500,8,1,S,1,2,4,CORPORATION,IF,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40000,12500
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,913,5,2,S,2,0,4,BOREWELL,AP,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,150000,21000
BHK3,ANYONE,1,SEMI_FURNISHED,BOTH,1395,10,3,E,5,2,4,CORP_BORE,AP,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,75000,20000
BHK2,ANYONE,1,SEMI_FURNISHED,BOTH,1150,6,2,N,4,3,3,CORPORATION,AP,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,100000,15000
BHK2,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,700,15,1,E,2,1,2,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75000,10500
BHK2,ANYONE,0,SEMI_FURNISHED,BOTH,1200,0,1,N,2,1,3,CORP_BORE,IF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,100000,10000
BHK2,FAMILY,1,SEMI_FURNISHED,NONE,1200,12,1,N,0,0,2,CORPORATION,IF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,12000
BHK3,FAMILY,1,SEMI_FURNISHED,BOTH,1390,4,3,E,5,2,4,BOREWELL,AP,3,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,100000,25000
BHK3,FAMILY,1,FULLY_FURNISHED,BOTH,1640,5,3,E,4,1,5,CORP_BORE,AP,2,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,75000,25500
BHK2,FAMILY,0,FULLY_FURNISHED,BOTH,1500,10,2,N,2,0,2,CORPORATION,IF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,26000
BHK1,ANYONE,1,NOT_FURNISHED,TWO_WHEELER,400,6,1,E,0,0,3,CORP_BORE,IF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,70000,12500
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1248,2,2,E,2,3,3,CORP_BORE,AP,2,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,200000,22000
BHK2,ANYONE,1,FULLY_FURNISHED,BOTH,1180,20,2,NE,2,4,7,CORPORATION,AP,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,400000,45000
BHK3,FAMILY,0,SEMI_FURNISHED,FOUR_WHEELER,1800,12,3,E,3,2,2,CORPORATION,IF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300000,30000
BHK2,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1000,8,2,N,2,1,3,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,160000,16000
BHK2,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1200,15,1,W,2,0,2,CORP_BORE,IF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,150000,14500
BHK2,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,800,1,2,W,2,2,2,CORP_BORE,IH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,12000
BHK3,FAMILY,1,SEMI_FURNISHED,BOTH,1880,8,4,W,3,2,10,CORP_BORE,AP,3,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,450000,45000
BHK2,FAMILY,0,SEMI_FURNISHED,BOTH,1200,0,2,E,4,0,1,BOREWELL,IH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,15000
BHK2,ANYONE,0,SEMI_FURNISHED,NONE,1100,1,2,N,3,3,4,CORP_BORE,AP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150000,16000
BHK2,FAMILY,1,SEMI_FURNISHED,BOTH,1200,10,2,N,0,0,3,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100000,14500
BHK2,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1200,8,2,S,2,1,4,CORP_BORE,IF,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60000,20000
BHK2,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1100,5,2,E,2,1,2,CORP_BORE,IH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180000,18000
BHK2,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1100,5,2,N,2,0,0,CORPORATION,IH,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,200000,25000
